"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter","Info","bt_data","comment"
"22494","513.530","Slave_0xaf9a9b6d","LE 1M","ATT","60","151\302\265s","0","1","False","9424","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff32e9837e5f8071757b9d78864a7d9c75c406b9b026746230be535200007d7d7d7d7dâ\200\246",""
"24246","555.903","Master_0xaf9a9b6d","LE 1M","ATT","12","47192\302\265s","1","1","False","10316","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff02e9eb","sync position"
"24249","555.951","Slave_0xaf9a9b6d","LE 1M","ATT","5","151\302\265s","0","1","False","10317","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"24256","556.141","Slave_0xaf9a9b6d","LE 1M","ATT","60","150\302\265s","1","0","False","10321","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff32e9837f5e8271757b9e77854a5caf7bc3c3b9b026746230be545200007d7d7d7d7dâ\200\246",""
"25335","583.312","Master_0xaf9a9b6d","LE 1M","ATT","12","47193\302\265s","1","1","False","10893","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff02ebed","play movements"
"25338","583.360","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","False","10894","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"25355","583.835","Master_0xaf9a9b6d","LE 1M","ATT","43","47194\302\265s","0","0","False","10904","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff21dc4361636865416374696f6e2f4d616e75616c456469746f7254656d702e7368c2",""
"25358","583.882","Slave_0xaf9a9b6d","LE 1M","ATT","5","149\302\265s","1","0","True","10905","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"25360","583.883","Slave_0xaf9a9b6d","LE 1M","ATT","14","149\302\265s","0","1","False","10905","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04dc4f4b7a",""
"25361","583.930","Master_0xaf9a9b6d","LE 1M","ATT","77","46582\302\265s","1","1","False","10906","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e30000000000000000000000000000000000000000000000000000000000000000â\200\246",""
"25364","583.977","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","True","10907","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"25366","583.978","Slave_0xaf9a9b6d","LE 1M","ATT","14","150\302\265s","1","0","False","10907","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"25367","584.025","Master_0xaf9a9b6d","LE 1M","ATT","77","46580\302\265s","0","0","False","10908","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e30000000000000000000000000000000000000000000000000000000000000000â\200\246",""
"25368","584.072","Master_0xaf9a9b6d","LE 1M","ATT","77","46807\302\265s","0","0","False","10909","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e30000000000000000000000000000000000000000000000000000000000000000â\200\246",""
"25371","584.120","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","True","10910","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"25373","584.120","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","True","10910","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"25375","584.121","Slave_0xaf9a9b6d","LE 1M","ATT","14","149\302\265s","0","1","False","10910","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"25376","584.167","Master_0xaf9a9b6d","LE 1M","ATT","59","46081\302\265s","1","1","False","10911","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff31e30a0001010801031c07470100050e011f010c0001000000000000000000000000â\200\246",""
"25379","584.215","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","True","10912","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
